x,y
0.10000000000000003,0.0030997200657554595
0.3,0.003193105631749313
0.35,0.0032000000000000023
0.35963940597345534,0.0034367635210593205
0.37198924962626695,0.0035000000000000022
0.37776536728848625,0.0035843008715274894
0.3897673797319852,0.0037000000000000023
0.3916637675974893,0.003745776932301947
0.4,0.003777437422277262
0.4410063168297436,0.003865909207838486
0.46795618831814334,0.004000000000000003
0.4746327133028293,0.004068072020382699
0.5,0.004093111671673838
0.6924433238709728,0.0043000000000000035
0.6950589825966126,0.004304117511358335
0.7,0.0043075253545738915
0.720595644257981,0.0043000000000000035
0.8674674590583998,0.004254683074185476
0.9,0.004254101471501593
0.9165485167563886,0.00424655659725215
1.0,0.0042304882368572735
1.080838965896778,0.004208838330108886
1.3,0.004199371226375385
1.3536194244750253,0.0043000000000000035
1.383916229928535,0.004411455244673816
1.4152327899893573,0.0045000000000000005
1.4442753993619284,0.004627193593759175
1.5,0.004710934597215119
1.564570849851291,0.005215236166170972
1.6490988646371085,0.006434004924678656
1.5591343227323733,0.006336050500735694
1.5367135533757854,0.006342914652866589
1.5412952718998227,0.006799547061322794
1.5434911228276844,0.007216736131160517
1.546277456505027,0.007999999999999998
1.5662076244159011,0.008331860931790976
1.5683577806515356,0.009000000000000003
1.6206569681070562,0.009605641372566155
1.6222584296405524,0.010000000000000007
1.6259578962638785,0.012796814485596374
1.7,0.013777475462852006
1.7546418178683896,0.017475534325857682
1.9999999999999998,0.019174376053224248
2.0147298343390507,0.019285237960635908
2.3,0.01972189224518736
2.3037634227044386,0.019730016421917542
2.5,0.019931148915775587
2.500920756133211,0.019933779996071554
2.578157891381218,0.020000000000000007
2.683204230087006,0.020227930005537298
2.7,0.02026171985630553
2.7492099395558394,0.02048497035160186
3.0,0.021669155809656067
3.449783040525345,0.023
3.475561745773736,0.02308733708449417
3.5,0.023206396682547023
3.6049986633519766,0.02391543114559914
3.7,0.024079337337270735
3.754483060177052,0.024612188142572444
3.8172010179599685,0.025000000000000005
3.893496798193909,0.025674959676079648
3.9999999999999996,0.026299698785733253
4.0575686673239,0.027253245308227834
4.187478969737194,0.02812926236707531
4.356578763102123,0.030000000000000002
4.398868449419176,0.03055690167737805
4.5,0.03161456653109637
4.52179516719594,0.03265237327650346
4.51917572232663,0.03287330605353003
4.521049499901532,0.03292693598197851
4.557431457395453,0.03466069018027569
4.682528929899968,0.03565194201389316
4.6363598482398976,0.03634955479108285
4.673080438413409,0.03804784455343906
4.759614881020648,0.040000000000000015
4.999999999999999,0.049429018738341615
5.035237867163072,0.05000000000000002
5.5,0.058008021978926155
5.575286019035503,0.058314852395010136
5.999999999999999,0.05961058017616712
6.129444900464593,0.060000000000000005
6.499999999999999,0.061492751635524555
6.588914650148343,0.06171984524935851
6.999999999999999,0.06293544771248023
7.409819897921051,0.06555002869952004
7.999999999999997,0.0678244134991672
8.15704083296573,0.06824150086329857
9.0,0.0692997942241687
9.0475373360637,0.0694625465018221
9.289016976853713,0.07000000000000002
10.000000000000002,0.07214280027820479
10.55810320944016,0.0728403857348052
11.999999999999998,0.07475632124179322
14.723647948106276,0.08
14.999999999999998,0.0805351390368454
15.148954230176539,0.0807473622055113
17.0,0.08372074143776283
18.33946896064293,0.08518660930407909
19.999999999999993,0.08601386487795276
23.07553606586682,0.08999999999999998
24.99999999999999,0.09246341509826873
25.305646893634005,0.09300000000000003
25.732022174444626,0.09374501757494622
26.428918252965115,0.09500000000000003
26.617923944101346,0.09590668138732569
26.999999999999996,0.09602062331538773
29.45529863833663,0.10000000000000003
29.999999999999996,0.1011599250736235
31.670744434465274,0.11198298359033673
32.99999999999999,0.11640381229884132
33.489022095095336,0.12174678856663446
34.841941241176364,0.13
34.999999999999986,0.1326849376506597
35.36607775003526,0.14833668355503726
36.123229428188125,0.1595469345030625
36.938362383676804,0.18152663796634033
37.332238753529985,0.20000000000000004
34.999999999999986,0.23628328528182996
33.45648541976791,0.3
