mass charge yield
2.0 0.033 0.9758216337890626
2.0 0.035 0.9914194763183595
2.0 0.037 1.0303178058471678
2.0 0.04 0.9573039062500001
2.0 0.05 1.0015320587158205
2.0 0.06 1.0514388427734376
2.0 0.07 1.4337730773925783
2.0 0.08 2.0151478515625003
2.0 0.09 2.2637102233886717
2.0 0.093 1.7450349938964844
2.0 0.095 2.2913488441467287
2.0 0.1 2.7203881835937507
2.0 0.2 6.388065795898439
2.3 0.001 0.0
2.3 0.003 0.001990564178466797
2.3 0.004 0.0070245244140624994
2.3 0.005 0.02991690368652344
2.3 0.006 0.0602941025390625
2.3 0.007 0.10817573046875001
2.3 0.008 0.16185759375
2.3 0.009 0.1881558017578125
2.3 0.01 0.2647235595703125
2.3 0.02 0.7600338378906251
2.3 0.023 0.8696096166992187
2.3 0.025 0.9059758758544924
2.3 0.027 0.9223587070312499
2.3 0.03 0.9209268676757812
2.3 0.04 0.7973860351562501
2.3 0.05 0.937482147216797
2.3 0.06 1.1527200439453125
2.3 0.07 1.3290137451171877
2.3 0.08 1.7760328125
2.3 0.09 2.028000173950195
2.3 0.093 2.4325238594970706
2.3 0.095 2.219679718399048
2.3 0.1 2.3470428466796878
2.5 0.003 0.0013402731170654297
2.5 0.004 0.006019050781249999
2.5 0.005 0.02472550048828125
2.5 0.006 0.059488896972656254
2.5 0.007 0.10467144091796876
2.5 0.008 0.16337412499999998
2.5 0.009 0.1919301328125
2.5 0.01 0.2577179931640625
2.5 0.02 0.71693349609375
2.5 0.023 0.8472953350830077
2.5 0.025 0.8606485748291017
2.5 0.027 0.854984050048828
2.5 0.03 0.8216265563964843
2.5 0.033 0.8661659007568361
2.5 0.035 0.8100504653930666
2.5 0.037 0.8613804150390624
2.5 0.04 0.782698291015625
2.5 0.05 0.9041796875000002
2.5 0.06 0.9957226684570312
2.5 0.07 1.286343460083008
2.5 0.08 1.8533662109375
2.5 0.09 1.9728319015502929
2.5 0.093 2.0792039743652344
2.5 0.095 2.3720645904541016
2.5 0.1 2.8661242675781256
2.5 0.2 11.779832763671877
2.7 0.001 0.0
2.7 0.003 0.0013065586853027345
2.7 0.004 0.00725019287109375
2.7 0.005 0.02774623718261719
2.7 0.006 0.05834633203125
2.7 0.007 0.10111665600585938
2.7 0.008 0.1355961875
2.7 0.009 0.18616180957031248
2.7 0.01 0.25052099609375
2.7 0.02 0.700947119140625
2.7 0.023 0.7772456484374999
2.7 0.027 0.8168604290771484
2.7 0.03 0.8168741455078125
2.7 0.04 0.7934890136718751
2.7 0.05 0.7267788696289064
2.7 0.06 0.9840175048828125
2.7 0.08 1.54741181640625
2.7 0.09 3.1840519592285155
2.7 0.093 2.0102427956085207
3.0 0.001 0.0
3.0 0.003 0.001154756332397461
3.0 0.004 0.00893316796875
3.0 0.005 0.024129396057128907
3.0 0.006 0.054772822265625
3.0 0.007 0.08498278393554688
3.0 0.008 0.12710004687499998
3.0 0.009 0.1679135734863281
3.0 0.01 0.21783271484375
3.0 0.02 0.6183130859375
3.0 0.023 0.6539401524658203
3.0 0.025 0.7357611083984377
3.0 0.027 0.7054028964843749
3.0 0.03 0.6715240905761719
3.0 0.04 0.653938427734375
3.0 0.05 0.7221749877929688
3.0 0.06 0.8227702880859374
3.0 0.07 1.0376953018188477
3.0 0.08 1.41741328125
3.0 0.09 1.8516399032592772
3.0 0.093 2.1855857769470215
3.0 0.095 1.6979864921569825
3.0 0.1 1.7133071899414065
3.5 0.001 0.0
3.5 0.003 0.0012930768127441406
3.5 0.004 0.0080270341796875
3.5 0.005 0.020860012817382815
3.5 0.006 0.048002009765625
3.5 0.007 0.07905823413085938
