mass charge yield
0.1 0.001 0.0
0.1 0.003 0.0
0.1 0.0032 0.0
0.1 0.0035 0.1093003857421875
0.1 0.0037 0.0
0.1 0.004 0.142204953125
0.1 0.005 1.9567503906250001
0.1 0.006 6.6414403125
0.1 0.007 15.205574343750001
0.1 0.008 30.539384
0.1 0.009 58.132834312499995
0.1 0.01 113.5083125
0.1 0.02 1675.1967000000002
0.1 0.03 6042.3309
0.1 0.04 11755.3976
0.1 0.05 19238.260000000002
0.1 0.07 33108.1289
0.1 0.08 42627.392
0.1 0.09 49001.8572
0.1 0.1 57372.36000000001
0.3 0.001 0.0
0.3 0.003 0.0
0.3 0.0032 0.06658601
0.3 0.0035 0.031510675598144536
0.3 0.0037 0.06869916067382813
0.3 0.004 0.2571968125
0.3 0.005 0.808471484375
0.3 0.006 2.5499475
0.3 0.007 7.178473203125001
0.3 0.008 16.49197
0.3 0.009 27.189340874999996
0.3 0.01 38.542315625
0.3 0.02 612.23305
0.3 0.03 2163.01905
0.3 0.04 4199.5984
0.3 0.05 6883.595000000001
0.3 0.06 9273.4956
0.3 0.07 12709.156950000002
0.3 0.09 19323.054225
0.35 0.001 0.0
0.35 0.003 0.0
0.35 0.0032 0.01739561
0.35 0.0035 0.025009599700927736
0.35 0.0037 0.05563971953369141
0.35 0.004 0.04864671875
0.35 0.005 0.6369984863281251
0.35 0.006 2.164107234375
0.35 0.007 7.785445390625001
0.35 0.008 13.527723
0.35 0.009 26.032098937499995
0.35 0.01 36.287375000000004
0.35 0.02 483.9699
0.35 0.03 1717.063425
0.35 0.04 3326.5544
0.35 0.05 5456.537500000001
0.35 0.06 7378.521299999999
0.35 0.07 9333.684150000001
0.35 0.08 12002.7224
0.35 0.09 14413.8862125
0.35 0.1 16969.688750000005
0.4 0.001 0.0
0.4 0.003 0.0
0.4 0.0032 0.011597005
0.4 0.0035 0.02989839196777344
0.4 0.0037 0.06215273369140625
0.4 0.004 0.0791717734375
0.4 0.0043 0.09658569296875
0.4 0.0045 0.2129964807128906
0.4 0.005 0.1861005126953125
0.4 0.006 1.2901044375
0.4 0.007 2.8196824140625
0.4 0.008 6.9600539999999995
0.4 0.009 11.259224015624998
0.4 0.01 14.4749890625
0.4 0.02 229.99325000000002
0.4 0.03 772.7691374999999
0.4 0.04 1547.2688
0.4 0.05 2462.2620312500003
0.4 0.06 3603.2044499999997
0.4 0.07 4602.264056250001
0.4 0.09 7074.582525
0.4 0.1 8481.061250000002
0.5 0.001 0.0
0.5 0.003 0.0
0.5 0.0032 0.0075689368750000005
0.5 0.0035 0.015296562438964845
0.5 0.0037 0.0316534424584961
0.5 0.004 0.054875328125
0.5 0.0043 0.09594303907226563
0.5 0.0045 0.09755071655273437
0.5 0.005 0.20007628173828126
0.5 0.006 0.705330140625
0.5 0.007 1.7592393437500002
0.5 0.008 3.255298
0.5 0.009 5.700559148437499
0.5 0.01 9.62955390625
0.5 0.02 137.0589625
0.5 0.03 487.97055
0.5 0.04 981.346
0.5 0.05 1602.1912500000003
0.5 0.06 2337.705675
0.5 0.07 3045.0841750000004
0.5 0.08 3827.2340000000004
0.5 0.09 4745.179462499999
0.5 0.1 5848.865000000001
0.7 0.001 0.0
0.7 0.003 0.006873453369140625
0.7 0.0032 0.0037729075
0.7 0.0035 0.009787149612426759
0.7 0.0037 0.019496790975341797
0.7 0.004 0.0
0.7 0.0043 0.035704524047851564
0.7 0.0045 0.08508675256347656
0.7 0.005 0.16815554199218752
0.7 0.0053 0.26640805627929687
0.7 0.006 0.54359947265625
0.7 0.007 1.06335263671875
0.7 0.008 2.622362
0.7 0.009 4.268546226562499
0.7 0.01 6.174140625000001
0.7 0.02 97.47760000000001
0.7 0.03 351.85826249999997
0.7 0.04 729.2845
0.7 0.05 1190.7262500000002
0.7 0.06 1747.22175
0.7 0.07 2336.01099375
0.7 0.08 2944.0876000000003
0.7 0.09 3702.461146875
0.7 0.1 4423.631250000001
0.9 0.001 0.0
0.9 0.003 0.010147167114257814
0.9 0.0032 0.0102874625
0.9 0.0035 0.02700516088867188
0.9 0.0037 0.023892539345703127
0.9 0.004 0.05492023828125
0.9 0.0043 0.05482697594238282
0.9 0.0045 0.09170574389648437
0.9 0.005 0.13701501464843752
0.9 0.0053 0.20273300512207032
0.9 0.006 0.6195976875
0.9 0.007 1.19724705078125
0.9 0.008 2.2150365
0.9 0.009 3.4628439726562497
0.9 0.01 6.27559609375
0.9 0.02 96.0922875
0.9 0.03 333.510975
0.9 0.04 700.7169
0.9 0.05 1100.5160156250001
0.9 0.06 1565.674875
0.9 0.07 2148.358603125
0.9 0.08 2845.1614
0.9 0.09 3438.7355249999996
0.9 0.1 4123.1771875
1.0 0.001 0.0
1.0 0.003 0.0030676409912109375
1.0 0.0032 0.0032452915625
1.0 0.0035 0.019858500122070313
1.0 0.0037 0.03336080538085938
1.0 0.004 0.032560046875
1.0 0.0043 0.09615492472167969
1.0 0.0045 0.057556393066406246
1.0 0.005 0.19785078125
1.0 0.0053 0.28901556858398436
1.0 0.006 0.58153440234375
1.0 0.007 1.3577965078125
1.0 0.008 2.728455
1.0 0.009 3.7675802109374996
1.0 0.01 6.451878125
1.0 0.02 89.47721250000001
1.0 0.03 303.24121875
1.0 0.04 617.27545
1.0 0.05 285.30583984375005
1.0 0.06 420.3865125
1.0 0.07 559.2644093750001
1.0 0.08 725.4525
1.0 0.09 953.308490625
1.0 0.1 1129.9775781250003
1.3 0.001 0.0
1.3 0.003 0.0070178038330078124
1.3 0.004 0.032005726562499996
1.3 0.0043 0.08272468433105469
1.3 0.0045 0.1065311564941406
1.3 0.005 0.1489543701171875
1.3 0.0053 0.24002556618164061
1.3 0.006 0.5072116640625001
1.3 0.007 1.3310684433593751
1.3 0.008 2.64853125
1.3 0.009 4.0538541445312495
1.3 0.01 6.05414140625
1.3 0.02 79.66821875000001
1.3 0.03 252.118125
1.3 0.04 505.34775
1.3 0.05 766.7504687500001
1.3 0.06 1106.1444374999999
1.3 0.07 1539.4712812500002
1.3 0.08 1910.8816000000002
